alpha,success_probability,number_modes,time_in_seconds,distance_to_helstrom_probability,bit_error_rate,squeezing,number_ancillas,helstrom_probability,homodyne_probability,best_success_probability,best_helstrom_probability,best_homodyne_probability,best_codebook,best_measurements,best_optimized_parameters
0.50625,0.9079872369766235,2,7.5234057903289795,0.052436358888719226,0.04600638151168823,False,0,0.8555508780879043,0.7786391020388854,0.947749137878418,0.8107083271081739,0.7129277274245392,"[[0, 0], [1, 1]]","[{'input_codeword': [1, 1], 'guessed_codeword': [0, 0], 'output_codeword': [0, 0], 'psucc': 0.981062114238739}, {'input_codeword': [0, 0], 'guessed_codeword': [0, 1], 'output_codeword': [0, 1], 'psucc': 0.2050890028476715}, {'input_codeword': [0, 0], 'guessed_codeword': [1, 0], 'output_codeword': [1, 0], 'psucc': 0.20780189335346222}, {'input_codeword': [0, 0], 'guessed_codeword': [1, 1], 'output_codeword': [1, 1], 'psucc': 0.501545250415802}]","{'theta_1_0': 0.030755657702684402, 'phi_1_0': -1.628645420074463, 'varphi_1_0': 0.03067360632121563, 'varphi_1_1': 0.03065219521522522, 'a_0': 0.6049431562423706, 'a_1': 0.6026113629341125}"
0.50625,0.8002551645040512,3,28.178255796432495,0.05011074476304689,0.06658161183198293,False,0,0.7501444197410043,0.6297025817087959,0.8222517967224121,0.7299564506186144,0.6019608664702147,"[[0, 0, 0], [0, 1, 0], [1, 0, 1], [1, 1, 1]]","[{'input_codeword': [1, 1, 1], 'guessed_codeword': [0, 0, 0], 'output_codeword': [0, 0, 0], 'psucc': 0.9160044193267822}, {'input_codeword': [0, 1, 0], 'guessed_codeword': [0, 0, 1], 'output_codeword': [0, 0, 1], 'psucc': 0.19308984279632568}, {'input_codeword': [1, 0, 1], 'guessed_codeword': [0, 1, 0], 'output_codeword': [0, 1, 0], 'psucc': 0.7867753505706787}, {'input_codeword': [0, 0, 0], 'guessed_codeword': [0, 1, 1], 'output_codeword': [0, 1, 1], 'psucc': 0.1652817279100418}, {'input_codeword': [0, 1, 0], 'guessed_codeword': [1, 0, 0], 'output_codeword': [1, 0, 0], 'psucc': 0.19294798374176025}, {'input_codeword': [0, 1, 0], 'guessed_codeword': [1, 0, 1], 'output_codeword': [1, 0, 1], 'psucc': 0.46754953265190125}, {'input_codeword': [0, 0, 0], 'guessed_codeword': [1, 1, 0], 'output_codeword': [1, 1, 0], 'psucc': 0.16578170657157898}, {'input_codeword': [0, 0, 0], 'guessed_codeword': [1, 1, 1], 'output_codeword': [1, 1, 1], 'psucc': 0.40157657861709595}]","{'theta_1_0': 0.002641314174979925, 'theta_1_1': 0.0006702218670397997, 'theta_1_2': -0.0025965727400034666, 'phi_1_0': -0.3943990468978882, 'phi_1_1': 0.11955968290567398, 'phi_1_2': -0.1587914526462555, 'varphi_1_0': -0.0001326263736700639, 'varphi_1_1': -0.00018119900778401643, 'varphi_1_2': -0.00011975680536124855, 'a_0': 0.6030510663986206, 'a_1': 0.7675536870956421, 'a_2': 0.6036320328712463}"
0.50625,0.850758720189333,4,183.20520067214966,0.15665378546416664,0.03731031995266676,False,0,0.6941049347251663,0.5561929016888932,0.9050976634025574,0.6572479916425338,0.508265944530718,"[[0, 0, 0, 0], [0, 1, 1, 1], [1, 0, 1, 1], [1, 1, 0, 0]]","[{'input_codeword': [1, 0, 1, 1], 'guessed_codeword': [0, 0, 0, 0], 'output_codeword': [0, 0, 0, 0], 'psucc': 0.8566666841506958}, {'input_codeword': [1, 1, 0, 0], 'guessed_codeword': [0, 0, 0, 1], 'output_codeword': [0, 0, 0, 1], 'psucc': 0.4575182795524597}, {'input_codeword': [0, 0, 0, 0], 'guessed_codeword': [0, 0, 1, 0], 'output_codeword': [0, 0, 1, 0], 'psucc': 0.13229888677597046}, {'input_codeword': [0, 0, 0, 0], 'guessed_codeword': [0, 0, 1, 1], 'output_codeword': [0, 0, 1, 1], 'psucc': 0.21674855053424835}, {'input_codeword': [1, 0, 1, 1], 'guessed_codeword': [0, 1, 0, 0], 'output_codeword': [0, 1, 0, 0], 'psucc': 0.1286742091178894}, {'input_codeword': [0, 0, 0, 0], 'guessed_codeword': [0, 1, 0, 1], 'output_codeword': [0, 1, 0, 1], 'psucc': 0.009541541337966919}, {'input_codeword': [0, 0, 0, 0], 'guessed_codeword': [0, 1, 1, 0], 'output_codeword': [0, 1, 1, 0], 'psucc': 0.029045497998595238}, {'input_codeword': [0, 0, 0, 0], 'guessed_codeword': [0, 1, 1, 1], 'output_codeword': [0, 1, 1, 1], 'psucc': 0.04759610444307327}, {'input_codeword': [0, 1, 1, 1], 'guessed_codeword': [1, 0, 0, 0], 'output_codeword': [1, 0, 0, 0], 'psucc': 0.772675096988678}, {'input_codeword': [1, 1, 0, 0], 'guessed_codeword': [1, 0, 0, 1], 'output_codeword': [1, 0, 0, 1], 'psucc': 0.43674302101135254}, {'input_codeword': [0, 0, 0, 0], 'guessed_codeword': [1, 0, 1, 0], 'output_codeword': [1, 0, 1, 0], 'psucc': 0.12595920264720917}, {'input_codeword': [0, 0, 0, 0], 'guessed_codeword': [1, 0, 1, 1], 'output_codeword': [1, 0, 1, 1], 'psucc': 0.20635592937469482}, {'input_codeword': [0, 1, 1, 1], 'guessed_codeword': [1, 1, 0, 0], 'output_codeword': [1, 1, 0, 0], 'psucc': 0.11851515620946884}, {'input_codeword': [0, 0, 0, 0], 'guessed_codeword': [1, 1, 0, 1], 'output_codeword': [1, 1, 0, 1], 'psucc': 0.009084334596991539}, {'input_codeword': [0, 0, 0, 0], 'guessed_codeword': [1, 1, 1, 0], 'output_codeword': [1, 1, 1, 0], 'psucc': 0.027655698359012604}, {'input_codeword': [0, 0, 0, 0], 'guessed_codeword': [1, 1, 1, 1], 'output_codeword': [1, 1, 1, 1], 'psucc': 0.0453127846121788}]","{'theta_1_0': 0.7816380262374878, 'theta_1_1': 1.2420417070388794, 'theta_1_2': 0.6486740112304688, 'theta_1_3': 0.006836171727627516, 'theta_1_4': -0.806474506855011, 'theta_1_5': 0.7745020985603333, 'phi_1_0': 0.0028477234300225973, 'phi_1_1': 0.1374647617340088, 'phi_1_2': -0.13668818771839142, 'phi_1_3': -0.494181752204895, 'phi_1_4': 0.20666515827178955, 'phi_1_5': -0.025374582037329674, 'varphi_1_0': 0.0012446818873286247, 'varphi_1_1': -0.10982634872198105, 'varphi_1_2': 0.06362869590520859, 'varphi_1_3': -0.07208983600139618, 'a_0': 0.8194058537483215, 'a_1': 0.3101831376552582, 'a_2': 0.38597410917282104, 'a_3': 0.6706269979476929}"
0.50625,0.9079872369766235,2,7.5071961879730225,0.052436358888719226,0.04600638151168823,False,0,0.8555508780879043,0.7786391020388854,0.947749137878418,0.8107083271081739,0.7129277274245392,"[[0, 0], [1, 1]]","[{'input_codeword': [1, 1], 'guessed_codeword': [0, 0], 'output_codeword': [0, 0], 'psucc': 0.981062114238739}, {'input_codeword': [0, 0], 'guessed_codeword': [0, 1], 'output_codeword': [0, 1], 'psucc': 0.2050890028476715}, {'input_codeword': [0, 0], 'guessed_codeword': [1, 0], 'output_codeword': [1, 0], 'psucc': 0.20780189335346222}, {'input_codeword': [0, 0], 'guessed_codeword': [1, 1], 'output_codeword': [1, 1], 'psucc': 0.501545250415802}]","{'theta_1_0': 0.030755657702684402, 'phi_1_0': -1.628645420074463, 'varphi_1_0': 0.03067360632121563, 'varphi_1_1': 0.03065219521522522, 'a_0': 0.6049431562423706, 'a_1': 0.6026113629341125}"
0.50625,0.9079872369766235,2,7.777893781661987,0.052436358888719226,0.04600638151168823,False,0,0.8555508780879043,0.7786391020388854,0.947749137878418,0.8107083271081739,0.7129277274245392,"[[0, 0], [1, 1]]","[{'input_codeword': [1, 1], 'guessed_codeword': [0, 0], 'output_codeword': [0, 0], 'psucc': 0.981062114238739}, {'input_codeword': [0, 0], 'guessed_codeword': [0, 1], 'output_codeword': [0, 1], 'psucc': 0.2050890028476715}, {'input_codeword': [0, 0], 'guessed_codeword': [1, 0], 'output_codeword': [1, 0], 'psucc': 0.20780189335346222}, {'input_codeword': [0, 0], 'guessed_codeword': [1, 1], 'output_codeword': [1, 1], 'psucc': 0.501545250415802}]","{'theta_1_0': 0.030755657702684402, 'phi_1_0': -1.628645420074463, 'varphi_1_0': 0.03067360632121563, 'varphi_1_1': 0.03065219521522522, 'a_0': 0.6049431562423706, 'a_1': 0.6026113629341125}"
0.50625,0.8002551645040512,3,28.191539764404297,0.05011074476304689,0.06658161183198293,False,0,0.7501444197410043,0.6297025817087959,0.8222517967224121,0.7299564506186144,0.6019608664702147,"[[0, 0, 0], [0, 1, 0], [1, 0, 1], [1, 1, 1]]","[{'input_codeword': [1, 1, 1], 'guessed_codeword': [0, 0, 0], 'output_codeword': [0, 0, 0], 'psucc': 0.9160044193267822}, {'input_codeword': [0, 1, 0], 'guessed_codeword': [0, 0, 1], 'output_codeword': [0, 0, 1], 'psucc': 0.19308984279632568}, {'input_codeword': [1, 0, 1], 'guessed_codeword': [0, 1, 0], 'output_codeword': [0, 1, 0], 'psucc': 0.7867753505706787}, {'input_codeword': [0, 0, 0], 'guessed_codeword': [0, 1, 1], 'output_codeword': [0, 1, 1], 'psucc': 0.1652817279100418}, {'input_codeword': [0, 1, 0], 'guessed_codeword': [1, 0, 0], 'output_codeword': [1, 0, 0], 'psucc': 0.19294798374176025}, {'input_codeword': [0, 1, 0], 'guessed_codeword': [1, 0, 1], 'output_codeword': [1, 0, 1], 'psucc': 0.46754953265190125}, {'input_codeword': [0, 0, 0], 'guessed_codeword': [1, 1, 0], 'output_codeword': [1, 1, 0], 'psucc': 0.16578170657157898}, {'input_codeword': [0, 0, 0], 'guessed_codeword': [1, 1, 1], 'output_codeword': [1, 1, 1], 'psucc': 0.40157657861709595}]","{'theta_1_0': 0.002641314174979925, 'theta_1_1': 0.0006702218670397997, 'theta_1_2': -0.0025965727400034666, 'phi_1_0': -0.3943990468978882, 'phi_1_1': 0.11955968290567398, 'phi_1_2': -0.1587914526462555, 'varphi_1_0': -0.0001326263736700639, 'varphi_1_1': -0.00018119900778401643, 'varphi_1_2': -0.00011975680536124855, 'a_0': 0.6030510663986206, 'a_1': 0.7675536870956421, 'a_2': 0.6036320328712463}"
0.50625,0.850758720189333,4,185.83350896835327,0.15665378546416664,0.03731031995266676,False,0,0.6941049347251663,0.5561929016888932,0.9050976634025574,0.6572479916425338,0.508265944530718,"[[0, 0, 0, 0], [0, 1, 1, 1], [1, 0, 1, 1], [1, 1, 0, 0]]","[{'input_codeword': [1, 0, 1, 1], 'guessed_codeword': [0, 0, 0, 0], 'output_codeword': [0, 0, 0, 0], 'psucc': 0.8566666841506958}, {'input_codeword': [1, 1, 0, 0], 'guessed_codeword': [0, 0, 0, 1], 'output_codeword': [0, 0, 0, 1], 'psucc': 0.4575182795524597}, {'input_codeword': [0, 0, 0, 0], 'guessed_codeword': [0, 0, 1, 0], 'output_codeword': [0, 0, 1, 0], 'psucc': 0.13229888677597046}, {'input_codeword': [0, 0, 0, 0], 'guessed_codeword': [0, 0, 1, 1], 'output_codeword': [0, 0, 1, 1], 'psucc': 0.21674855053424835}, {'input_codeword': [1, 0, 1, 1], 'guessed_codeword': [0, 1, 0, 0], 'output_codeword': [0, 1, 0, 0], 'psucc': 0.1286742091178894}, {'input_codeword': [0, 0, 0, 0], 'guessed_codeword': [0, 1, 0, 1], 'output_codeword': [0, 1, 0, 1], 'psucc': 0.009541541337966919}, {'input_codeword': [0, 0, 0, 0], 'guessed_codeword': [0, 1, 1, 0], 'output_codeword': [0, 1, 1, 0], 'psucc': 0.029045497998595238}, {'input_codeword': [0, 0, 0, 0], 'guessed_codeword': [0, 1, 1, 1], 'output_codeword': [0, 1, 1, 1], 'psucc': 0.04759610444307327}, {'input_codeword': [0, 1, 1, 1], 'guessed_codeword': [1, 0, 0, 0], 'output_codeword': [1, 0, 0, 0], 'psucc': 0.772675096988678}, {'input_codeword': [1, 1, 0, 0], 'guessed_codeword': [1, 0, 0, 1], 'output_codeword': [1, 0, 0, 1], 'psucc': 0.43674302101135254}, {'input_codeword': [0, 0, 0, 0], 'guessed_codeword': [1, 0, 1, 0], 'output_codeword': [1, 0, 1, 0], 'psucc': 0.12595920264720917}, {'input_codeword': [0, 0, 0, 0], 'guessed_codeword': [1, 0, 1, 1], 'output_codeword': [1, 0, 1, 1], 'psucc': 0.20635592937469482}, {'input_codeword': [0, 1, 1, 1], 'guessed_codeword': [1, 1, 0, 0], 'output_codeword': [1, 1, 0, 0], 'psucc': 0.11851515620946884}, {'input_codeword': [0, 0, 0, 0], 'guessed_codeword': [1, 1, 0, 1], 'output_codeword': [1, 1, 0, 1], 'psucc': 0.009084334596991539}, {'input_codeword': [0, 0, 0, 0], 'guessed_codeword': [1, 1, 1, 0], 'output_codeword': [1, 1, 1, 0], 'psucc': 0.027655698359012604}, {'input_codeword': [0, 0, 0, 0], 'guessed_codeword': [1, 1, 1, 1], 'output_codeword': [1, 1, 1, 1], 'psucc': 0.0453127846121788}]","{'theta_1_0': 0.7816380262374878, 'theta_1_1': 1.2420417070388794, 'theta_1_2': 0.6486740112304688, 'theta_1_3': 0.006836171727627516, 'theta_1_4': -0.806474506855011, 'theta_1_5': 0.7745020985603333, 'phi_1_0': 0.0028477234300225973, 'phi_1_1': 0.1374647617340088, 'phi_1_2': -0.13668818771839142, 'phi_1_3': -0.494181752204895, 'phi_1_4': 0.20666515827178955, 'phi_1_5': -0.025374582037329674, 'varphi_1_0': 0.0012446818873286247, 'varphi_1_1': -0.10982634872198105, 'varphi_1_2': 0.06362869590520859, 'varphi_1_3': -0.07208983600139618, 'a_0': 0.8194058537483215, 'a_1': 0.3101831376552582, 'a_2': 0.38597410917282104, 'a_3': 0.6706269979476929}"
0.50625,0.9079872369766235,2,7.406473398208618,0.052436358888719226,0.04600638151168823,False,0,0.8555508780879043,0.7786391020388854,0.947749137878418,0.8107083271081739,0.7129277274245392,"[[0, 0], [1, 1]]","[{'input_codeword': [1, 1], 'guessed_codeword': [0, 0], 'output_codeword': [0, 0], 'psucc': 0.981062114238739}, {'input_codeword': [0, 0], 'guessed_codeword': [0, 1], 'output_codeword': [0, 1], 'psucc': 0.2050890028476715}, {'input_codeword': [0, 0], 'guessed_codeword': [1, 0], 'output_codeword': [1, 0], 'psucc': 0.20780189335346222}, {'input_codeword': [0, 0], 'guessed_codeword': [1, 1], 'output_codeword': [1, 1], 'psucc': 0.501545250415802}]","{'theta_1_0': 0.030755657702684402, 'phi_1_0': -1.628645420074463, 'varphi_1_0': 0.03067360632121563, 'varphi_1_1': 0.03065219521522522, 'a_0': 0.6049431562423706, 'a_1': 0.6026113629341125}"
0.50625,0.8002551645040512,3,28.9599552154541,0.05011074476304689,0.06658161183198293,False,0,0.7501444197410043,0.6297025817087959,0.8222517967224121,0.7299564506186144,0.6019608664702147,"[[0, 0, 0], [0, 1, 0], [1, 0, 1], [1, 1, 1]]","[{'input_codeword': [1, 1, 1], 'guessed_codeword': [0, 0, 0], 'output_codeword': [0, 0, 0], 'psucc': 0.9160044193267822}, {'input_codeword': [0, 1, 0], 'guessed_codeword': [0, 0, 1], 'output_codeword': [0, 0, 1], 'psucc': 0.19308984279632568}, {'input_codeword': [1, 0, 1], 'guessed_codeword': [0, 1, 0], 'output_codeword': [0, 1, 0], 'psucc': 0.7867753505706787}, {'input_codeword': [0, 0, 0], 'guessed_codeword': [0, 1, 1], 'output_codeword': [0, 1, 1], 'psucc': 0.1652817279100418}, {'input_codeword': [0, 1, 0], 'guessed_codeword': [1, 0, 0], 'output_codeword': [1, 0, 0], 'psucc': 0.19294798374176025}, {'input_codeword': [0, 1, 0], 'guessed_codeword': [1, 0, 1], 'output_codeword': [1, 0, 1], 'psucc': 0.46754953265190125}, {'input_codeword': [0, 0, 0], 'guessed_codeword': [1, 1, 0], 'output_codeword': [1, 1, 0], 'psucc': 0.16578170657157898}, {'input_codeword': [0, 0, 0], 'guessed_codeword': [1, 1, 1], 'output_codeword': [1, 1, 1], 'psucc': 0.40157657861709595}]","{'theta_1_0': 0.002641314174979925, 'theta_1_1': 0.0006702218670397997, 'theta_1_2': -0.0025965727400034666, 'phi_1_0': -0.3943990468978882, 'phi_1_1': 0.11955968290567398, 'phi_1_2': -0.1587914526462555, 'varphi_1_0': -0.0001326263736700639, 'varphi_1_1': -0.00018119900778401643, 'varphi_1_2': -0.00011975680536124855, 'a_0': 0.6030510663986206, 'a_1': 0.7675536870956421, 'a_2': 0.6036320328712463}"
0.50625,0.850758720189333,4,186.88894653320312,0.15665378546416664,0.03731031995266676,False,0,0.6941049347251663,0.5561929016888932,0.9050976634025574,0.6572479916425338,0.508265944530718,"[[0, 0, 0, 0], [0, 1, 1, 1], [1, 0, 1, 1], [1, 1, 0, 0]]","[{'input_codeword': [1, 0, 1, 1], 'guessed_codeword': [0, 0, 0, 0], 'output_codeword': [0, 0, 0, 0], 'psucc': 0.8566666841506958}, {'input_codeword': [1, 1, 0, 0], 'guessed_codeword': [0, 0, 0, 1], 'output_codeword': [0, 0, 0, 1], 'psucc': 0.4575182795524597}, {'input_codeword': [0, 0, 0, 0], 'guessed_codeword': [0, 0, 1, 0], 'output_codeword': [0, 0, 1, 0], 'psucc': 0.13229888677597046}, {'input_codeword': [0, 0, 0, 0], 'guessed_codeword': [0, 0, 1, 1], 'output_codeword': [0, 0, 1, 1], 'psucc': 0.21674855053424835}, {'input_codeword': [1, 0, 1, 1], 'guessed_codeword': [0, 1, 0, 0], 'output_codeword': [0, 1, 0, 0], 'psucc': 0.1286742091178894}, {'input_codeword': [0, 0, 0, 0], 'guessed_codeword': [0, 1, 0, 1], 'output_codeword': [0, 1, 0, 1], 'psucc': 0.009541541337966919}, {'input_codeword': [0, 0, 0, 0], 'guessed_codeword': [0, 1, 1, 0], 'output_codeword': [0, 1, 1, 0], 'psucc': 0.029045497998595238}, {'input_codeword': [0, 0, 0, 0], 'guessed_codeword': [0, 1, 1, 1], 'output_codeword': [0, 1, 1, 1], 'psucc': 0.04759610444307327}, {'input_codeword': [0, 1, 1, 1], 'guessed_codeword': [1, 0, 0, 0], 'output_codeword': [1, 0, 0, 0], 'psucc': 0.772675096988678}, {'input_codeword': [1, 1, 0, 0], 'guessed_codeword': [1, 0, 0, 1], 'output_codeword': [1, 0, 0, 1], 'psucc': 0.43674302101135254}, {'input_codeword': [0, 0, 0, 0], 'guessed_codeword': [1, 0, 1, 0], 'output_codeword': [1, 0, 1, 0], 'psucc': 0.12595920264720917}, {'input_codeword': [0, 0, 0, 0], 'guessed_codeword': [1, 0, 1, 1], 'output_codeword': [1, 0, 1, 1], 'psucc': 0.20635592937469482}, {'input_codeword': [0, 1, 1, 1], 'guessed_codeword': [1, 1, 0, 0], 'output_codeword': [1, 1, 0, 0], 'psucc': 0.11851515620946884}, {'input_codeword': [0, 0, 0, 0], 'guessed_codeword': [1, 1, 0, 1], 'output_codeword': [1, 1, 0, 1], 'psucc': 0.009084334596991539}, {'input_codeword': [0, 0, 0, 0], 'guessed_codeword': [1, 1, 1, 0], 'output_codeword': [1, 1, 1, 0], 'psucc': 0.027655698359012604}, {'input_codeword': [0, 0, 0, 0], 'guessed_codeword': [1, 1, 1, 1], 'output_codeword': [1, 1, 1, 1], 'psucc': 0.0453127846121788}]","{'theta_1_0': 0.7816380262374878, 'theta_1_1': 1.2420417070388794, 'theta_1_2': 0.6486740112304688, 'theta_1_3': 0.006836171727627516, 'theta_1_4': -0.806474506855011, 'theta_1_5': 0.7745020985603333, 'phi_1_0': 0.0028477234300225973, 'phi_1_1': 0.1374647617340088, 'phi_1_2': -0.13668818771839142, 'phi_1_3': -0.494181752204895, 'phi_1_4': 0.20666515827178955, 'phi_1_5': -0.025374582037329674, 'varphi_1_0': 0.0012446818873286247, 'varphi_1_1': -0.10982634872198105, 'varphi_1_2': 0.06362869590520859, 'varphi_1_3': -0.07208983600139618, 'a_0': 0.8194058537483215, 'a_1': 0.3101831376552582, 'a_2': 0.38597410917282104, 'a_3': 0.6706269979476929}"
